Latitude,Longitude,Anomaly,Temp_Deviation,Zonal_Mean
-82.5,37.5,-1.01,-1.940987654320987,-0.5036111111111111
-82.5,42.5,-0.07,-1.000987654320987,-0.5036111111111111
-82.5,47.5,-0.06,-0.990987654320987,-0.5036111111111111
-82.5,52.5,-0.81,-1.740987654320987,-0.5036111111111111
-82.5,57.5,-1.01,-1.940987654320987,-0.5036111111111111
-82.5,62.5,-0.95,-1.880987654320987,-0.5036111111111111
-82.5,67.5,-0.74,-1.670987654320987,-0.5036111111111111
-82.5,72.5,-1.35,-2.2809876543209873,-0.5036111111111111
-82.5,77.5,-0.95,-1.880987654320987,-0.5036111111111111
-82.5,82.5,-0.82,-1.750987654320987,-0.5036111111111111
-82.5,87.5,-0.89,-1.8209876543209869,-0.5036111111111111
-82.5,92.5,-0.9,-1.830987654320987,-0.5036111111111111
-82.5,97.5,0.29,-0.6409876543209869,-0.5036111111111111
-82.5,102.5,-0.28,-1.210987654320987,-0.5036111111111111
-82.5,107.5,0.91,-0.020987654320986926,-0.5036111111111111
-82.5,112.5,0.56,-0.3709876543209869,-0.5036111111111111
-82.5,117.5,0.34,-0.5909876543209869,-0.5036111111111111
-82.5,122.5,0.42,-0.510987654320987,-0.5036111111111111
-82.5,127.5,0.98,0.049012345679013025,-0.5036111111111111
-82.5,132.5,-0.05,-0.980987654320987,-0.5036111111111111
-82.5,137.5,-1.09,-2.020987654320987,-0.5036111111111111
-82.5,142.5,-0.63,-1.560987654320987,-0.5036111111111111
-82.5,147.5,-0.78,-1.710987654320987,-0.5036111111111111
-82.5,152.5,-1.59,-2.520987654320987,-0.5036111111111111
-82.5,157.5,-1.49,-2.420987654320987,-0.5036111111111111
-82.5,162.5,-1.48,-2.410987654320987,-0.5036111111111111
-82.5,167.5,-1.77,-2.700987654320987,-0.5036111111111111
-82.5,172.5,-1.63,-2.5609876543209866,-0.5036111111111111
-82.5,177.5,-1.62,-2.550987654320987,-0.5036111111111111
-77.5,2.5,0.56,-0.3709876543209869,-0.825
-77.5,7.5,0.85,-0.08098765432098698,-0.825
-77.5,12.5,0.04,-0.8909876543209869,-0.825
-77.5,17.5,0.4,-0.5309876543209869,-0.825
-77.5,22.5,0.37,-0.560987654320987,-0.825
-77.5,27.5,-0.1,-1.030987654320987,-0.825
-77.5,32.5,-0.11,-1.040987654320987,-0.825
-77.5,37.5,-0.2,-1.130987654320987,-0.825
-77.5,42.5,-0.22,-1.150987654320987,-0.825
-77.5,47.5,-0.47,-1.400987654320987,-0.825
-77.5,52.5,-0.03,-0.960987654320987,-0.825
-77.5,57.5,-0.05,-0.980987654320987,-0.825
-77.5,62.5,0.06,-0.8709876543209869,-0.825
-77.5,67.5,0.32,-0.6109876543209869,-0.825
-77.5,72.5,-0.86,-1.790987654320987,-0.825
-77.5,77.5,-1.12,-2.050987654320987,-0.825
-77.5,82.5,-1.14,-2.070987654320987,-0.825
-77.5,87.5,-1.99,-2.920987654320987,-0.825
-77.5,92.5,-2.56,-3.4909876543209872,-0.825
-77.5,97.5,-2.37,-3.300987654320987,-0.825
-77.5,102.5,-1.99,-2.920987654320987,-0.825
-77.5,107.5,-1.44,-2.370987654320987,-0.825
-77.5,112.5,-0.02,-0.950987654320987,-0.825
-77.5,117.5,-1.03,-1.960987654320987,-0.825
-77.5,122.5,-0.45,-1.380987654320987,-0.825
-77.5,127.5,-0.86,-1.790987654320987,-0.825
-77.5,132.5,-0.08,-1.010987654320987,-0.825
-77.5,137.5,-0.42,-1.3509876543209869,-0.825
-77.5,142.5,-1.49,-2.420987654320987,-0.825
-77.5,147.5,-1.74,-2.670987654320987,-0.825
-77.5,152.5,-1.71,-2.6409876543209867,-0.825
-77.5,157.5,-2.19,-3.120987654320987,-0.825
-77.5,162.5,-2.03,-2.960987654320987,-0.825
-77.5,167.5,-2.66,-3.590987654320987,-0.825
-77.5,172.5,-1.59,-2.520987654320987,-0.825
-77.5,177.5,-1.38,-2.3109876543209866,-0.825
-72.5,2.5,0.2,-0.730987654320987,-1.1974999999999996
-72.5,7.5,-0.15,-1.0809876543209869,-1.1974999999999996
-72.5,12.5,-0.06,-0.990987654320987,-1.1974999999999996
-72.5,17.5,0.11,-0.820987654320987,-1.1974999999999996
-72.5,22.5,0.09,-0.840987654320987,-1.1974999999999996
